Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value,Cluster 3 Mean Counts,Cluster 3 Log2 fold change,Cluster 3 Adjusted p value,Cluster 4 Mean Counts,Cluster 4 Log2 fold change,Cluster 4 Adjusted p value,Cluster 5 Mean Counts,Cluster 5 Log2 fold change,Cluster 5 Adjusted p value,Cluster 6 Mean Counts,Cluster 6 Log2 fold change,Cluster 6 Adjusted p value,Cluster 7 Mean Counts,Cluster 7 Log2 fold change,Cluster 7 Adjusted p value,Cluster 8 Mean Counts,Cluster 8 Log2 fold change,Cluster 8 Adjusted p value,Cluster 9 Mean Counts,Cluster 9 Log2 fold change,Cluster 9 Adjusted p value
ENSMUSG00000052595,A1cf,0.0007713002358193789,-0.3145560895665671,0.5157868497824094,0.0009105161933534332,0.0850972645826289,0.9397641666239729,0,-2.6528317279473246,0.017716864920174342,0.00041747357119861935,-0.7771654125856156,0.333330945362262,0.0004022683795609207,-0.1965167675567443,0.8841012416468176,0,-2.2999604990109503,0.08436078218909762,0,-0.37528709539169647,0.8934498203913768,0,-0.422189100754105,0.8660130775845414,0.0102726623371292,4.078982043953124,0.000000000001531885919838589
ENSMUSG00000030111,A2m,0.0032086089810086163,-4.597520087397412,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000019311034511268544,0.007523739071394159,-3.0356448345412703,0.000000000000000000000000000000000000003167840410012337,0.2684873942929443,3.2367875487160265,0.00000000000000000000000000000000000000000000000001175428523370221,0.01572483784848133,-1.6835912972734173,0.0000021095912529119353,0.03137693360575181,-0.6044635750007314,0.5470880881974924,0.0017681048829993828,-4.6960895357397305,0.00000000000000030256622533762965,0.025597540628449475,-0.8735763023883143,0.6730404280750437,0.07919884594520522,0.7586595497244439,0.22635212204195104,0.6570037520833502,4.447416000495905,0.000000000000000000000000000000000000000000000000000000014038040540594672
ENSMUSG00000018697,Aatf,0.14016067885309755,-0.19883228619127014,0.2440897750252941,0.1563691757322238,0.050261159578683934,0.8246077205884068,0.14183648934659332,-0.11147585365827384,0.8144575337420856,0.20303131345959521,0.46251535273199984,0.08299409276613214,0.11223287789749686,-0.44947720923468903,0.6633406621651041,0.15578968580205674,0.03497213041299041,0.8840976058111305,0.24957602112738236,0.730875149856947,0.2772963848029446,0.13911449461679526,-0.1282668400974427,1,0.1460504601844021,-0.05985101366314982,0.9704369944084272
ENSMUSG00000015243,Abca1,0.04436518956433067,-2.70838723523412,0.000000000000000000000000000000000000000000000000000000000004863692646030669,0.06958260593416762,-1.741444372775324,0.00000000000000000001559537911126568,0.8458527063351476,2.672244088056475,0.00000000000000000000000000000000000057591788491432635,0.2744192941345591,0.5961860497423055,0.02047648770891427,0.36686876215955966,0.9944029195808635,0.02151790527398938,0.036933746444876,-2.4328496806279247,0.000000003420824496433558,1.1838862540657882,2.7821357641081628,0.000000000006644894037153035,0.40150371466134477,1.1112105948481323,0.03491646796069206,0.667723051913398,1.9228204528413189,0.00000013962310079043682
ENSMUSG00000004668,Abca13,0.0004936321509244025,-0.9275329664573189,0.06304339270386247,0.0008146723835267559,0.1374526696437659,0.866204611898474,0.0015655241649734362,1.248604437569087,0.10537497289124825,0.0005566314282648258,-0.22935591028192448,0.8940094954351129,0.001206805138682762,1.0463397563394192,0.5158252564625334,0.0007858243924441701,0.3092495479568811,0.9121155412426256,0.0007110427952347077,0.8404415956637408,0.866227145210639,0.000688685616914828,0.7935395903013323,0.8511400391041408,0.002679824957511965,2.0831942952400375,0.04626469661837605
ENSMUSG00000024130,Abca3,0.5936852175148923,0.18083473279160156,0.2786453252333556,0.6551882839751652,0.34557968996101296,0.05358652657805633,0.45869858033721683,-0.28871384333761085,0.4415600788013597,0.2909790791254377,-0.9901897071974266,0.0008643724282511155,0.5563371689327533,0.011427911864558493,0.9937345328928436,0.4540100427346193,-0.29971781074876924,0.5420825556466582,0.4394244474550493,-0.33371253488198716,0.9961083716045386,0.3457201796912437,-0.6838551604593286,0.6995183428045968,0.5221192292219146,-0.08264834458776227,0.9974561802091206
ENSMUSG00000028125,Abca4,0.010273719141114126,-1.753541270030123,0.00000000000000000000018774915738617424,0.006229847638734016,-2.3209774251484605,0.0000000000000000000000009177940261086775,0.0065752014928884325,-1.9695313080328747,0.0000012250135827478474,0.003478946426655161,-2.8937556775399074,0.0000000000023698249867126716,0.013274856525510382,-0.8789150454049759,0.29683621641561314,0.01394838296588402,-0.8511346862758238,0.06683708961329,0.004977299566642953,-2.1442065514155546,0.11949268352801977,0.04889667880095279,1.0266367119810225,0.08779109281492542,0.5614233285987567,5.927887327782577,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000007185454280637062
ENSMUSG00000035722,Abca7,0.1340211289759753,-0.49890294813208325,0.0016755502081141384,0.2179488235458639,0.552145486692726,0.0013087273683570712,0.1255550380308696,-0.4394772721469198,0.2528508448549131,0.2207043613070034,0.4513222956075329,0.09181122717546551,0.30210355305025144,0.8961027426816961,0.031379330224290146,0.040862868407096846,-2.095654104387886,0.00000017952095990253732,0.24033246478933118,0.5412331414611078,0.4399430463255474,0.23759653783561568,0.5245990930595683,0.3902461620210386,0.15453657254985664,-0.1101321618782789,1
ENSMUSG00000041828,Abca8a,0.009440714886429198,-3.2317351121972924,0.00000000000000000000000000000000000000000000000000000000000000000003187838811521941,0.012268007657814679,-2.553814732078212,0.000000000000000000000000000000005393480077739998,0.02817943496952185,-1.0592083674443105,0.0034312413609224606,0.43500746118896133,4.519857781944782,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000585708964648428,0.01850434545980235,-1.612418673716384,0.020557713338369654,0.008054700022552744,-2.8595753204025334,0.00000000041141097270150866,0.02986379739985772,-0.9006308565873171,0.6221054198291525,0.18525643095008876,1.7784506527102368,0.0002852571479851914,0.10317326086421065,0.9077039872736363,0.0358018670911297
ENSMUSG00000020620,Abca8b,0.1091544093731585,0.3745227800083337,0.01929615888872977,0.07753764214978183,-0.3715850614959817,0.05524317418200446,0.046339515283213714,-1.0843711498324304,0.0017311310902803293,0.1902287906095042,1.165423604576115,0.0000010189676567934358,0.01810207708024143,-2.388360984933112,0.00036447229663443616,0.08801233195374705,-0.10450757760721618,0.9384767220151509,0.019198155471337106,-2.266636840104436,0.04837050350434192,0.04751930756712314,-0.9834861391747038,0.46287444862254945,0.043323836813110105,-1.1316238869052397,0.10760449432388511
