Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value,Cluster 3 Mean Counts,Cluster 3 Log2 fold change,Cluster 3 Adjusted p value
ENSMUSG00000026787,Gad2,0.7669291736815002,1.9589090753244092,0.00000000000000000000000010751127488445052,0.2232146386582751,-1.6628832919903596,0.000000000000009298560022063898,0.1338527381338473,-2.292341846382706,0.00000000011749031193008147
ENSMUSG00000036390,Gadd45a,0.017150787300228416,-0.22394052856073987,0.24593043465354159,0.017685673651195867,-0.01780184303933474,1,0.025659194001238124,0.5798863157325362,0.05524944481026882
ENSMUSG00000062234,Gak,0.2652814697664443,0.12929593684659135,0.5014180555573747,0.2398954444883803,-0.13641688840970145,0.5622725411035336,0.2489105252476794,-0.06289106589361348,0.9131246472458506
ENSMUSG00000024907,Gal,0.013423098734475877,1.14400060845428,0.0000017401718523100393,0.006900092371489296,-0.8478365152552243,0.002464775876242819,0.0039224245606988214,-1.5677388213602041,0.0008848163467900136
ENSMUSG00000021003,Galc,0.05273482356321479,-0.7241080433626008,0.000013814797557947452,0.09774014339808625,0.869115219770122,0.0000026660466976869304,0.061124449404223305,-0.014555736426598465,0.9668492310325576
ENSMUSG00000024064,Galnt14,0.196592823121362,3.1692203706648017,0.00000000000000000000000000000000000000000000000000010039486119340397,0.023044968697012794,-2.9594986769722658,0.0000000000000000000000000000000001499805947800249,0.018794951020015188,-3.0891995456002115,0.0000000000000009885329687124624
ENSMUSG00000021903,Galnt15,0.0038302854987549,-4.079510433845188,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000007261907672661117,0.007770977816434547,-1.5445875268057145,0.0000000020201298925957005,0.20461981458312187,5.4619873679925295,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000045247544080237625
ENSMUSG00000034040,Galnt17,0.8514177480089463,2.2677957501996078,0.000000000000000000000000000000006715432608518299,0.14550486049392963,-2.448849452431552,0.0000000000000000000000000016880001621968057,0.252996384165074,-1.483686604639095,0.000006356200222277391
ENSMUSG00000038296,Galnt18,0.18882965519084982,1.0369820401804892,0.000000007458150901068836,0.09090704221466965,-0.9839252401978151,0.000002455476122462444,0.09462849252685908,-0.8338151541349563,0.01592130603370193
ENSMUSG00000028938,Galntl5,0.0005300841538455442,-0.47438489380432713,0.4548774465208674,0.0006699118807271162,0.3634801173840181,0.698729545598228,0.0008171717834789212,0.777089675637237,0.4435145312973876
ENSMUSG00000034660,Galp,0.0003248902878408174,0.04018827902543087,1,0.0003349559403635581,0.3061469423180654,0.8504867956423623,0.00016343435669578425,-0.05941159207988278,1
ENSMUSG00000024553,Galr1,0.016347111325043233,1.6865232342805534,0.0000000000002574952161920068,0.006096198114616757,-1.2877486831730982,0.000000970348589284237,0.0024515153504367634,-2.4489784038426086,0.00000022378473565883137
ENSMUSG00000020793,Galr2,0.0011969642183609062,-2.543806294761807,0.00000000000000000001685881281945285,0.00830690732101624,2.509430540706809,0.0000000000000000011565494719078734,0.0039224245606988214,0.6209704737199546,0.21769215607279793
ENSMUSG00000047261,Gap43,1.7540655645637395,2.041770337037828,0.0000000000000000000000000006899253564136401,0.4810637215501421,-1.747606641081957,0.00000000000000033698139984391366,0.2915668923452791,-2.357866192384312,0.000000000008978537949796674
ENSMUSG00000028010,Gar1,0.13703530351349005,0.7127421977129247,0.00006680065123313718,0.08561473835692544,-0.6182656375468465,0.003160589512724111,0.07861192557067222,-0.684594758587775,0.05329381567971759
ENSMUSG00000042680,Garem1,0.10073308871948712,0.003714873224211157,1,0.12205794466848055,0.3512761064899572,0.07804310798601606,0.047722832155168995,-1.1340619785116726,0.001069856212068491
ENSMUSG00000029777,Gars,0.7496586899594356,1.1459547375906745,0.00000000011660028373522814,0.3287927510608686,-1.1166054381208477,0.00000007055171045454395,0.3629877062213368,-0.871026899327765,0.007176665523003335
ENSMUSG00000022962,Gart,0.11280532783609855,-0.5679315447640549,0.0006067436410958097,0.175382930374359,0.595819700619542,0.0015034708506610065,0.1472543553829016,0.23150321950790964,0.46857951986458857
ENSMUSG00000052957,Gas1,0.013765088511150422,-3.3724179627906308,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011792895838110334,0.12674732783357037,2.095325938411225,0.0000000000000000000000000000000003973270886130313,0.18157557028901627,2.305711037470081,0.000000000000000000000006168360677705736
ENSMUSG00000031451,Gas6,0.1606667970817011,-0.4011678962511964,0.017713425389255386,0.12453661862717089,-0.5765186436956942,0.005739533196902717,0.42590993354921375,1.4742128519938644,0.000000001070814313718584
ENSMUSG00000017165,Gast,0.0005471836426792715,1.5700092255541271,0.02364426794295323,0.00020097356421813485,-0.9308922549827834,0.27296882333102335,0,-1.5854804037474715,0.18990104293501872
ENSMUSG00000031162,Gata1,0.0003419897766745447,-0.5414990896628638,0.5420201287194344,0.0005359295045816929,0.7598649097609691,0.40231587504207017,0.0003268687133915685,0.3114261032884258,0.6675398391854133
ENSMUSG00000015053,Gata2,0.004497165563270262,-5.125219065941623,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000026661651470660436,0.011857440288869956,-2.1429321303213165,0.000000000000000004177627710627503,0.512857011311371,6.415899065719436,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002715788537713498
