Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value
ENSMUSG00000052595,A1cf,0.0007486432600236205,-0.8172001349002045,0.06066792147341222,0.0013009355389894668,0.8172001349002045,0.06066792147341222
ENSMUSG00000030111,A2m,0.004559918038325689,-5.216097052375252,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000067190268434131375,0.1700852760234377,5.216097052375252,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000067190268434131375
ENSMUSG00000018697,Aatf,0.14736361988783128,-0.1790205243019356,0.31849151476482646,0.16680884577709387,0.1790205243019356,0.31849151476482646
ENSMUSG00000015243,Abca1,0.05442976792762641,-3.397727912149027,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000004499274616808962,0.5738089382898356,3.397727912149027,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000004499274616810497
ENSMUSG00000004668,Abca13,0.0006295409232016808,-0.9542105138697821,0.04265941374411315,0.0012045699435087656,0.9542105138697821,0.04265941374411315
ENSMUSG00000024130,Abca3,0.601670976385347,0.5451967768883506,0.002052859540258304,0.4123002002641803,-0.5451967768883506,0.002052859540258299
ENSMUSG00000028125,Abca4,0.009051777598467411,-2.9335545468523976,0.0000000000000000000000000000000000000000000000000000000000000000004187662699467092,0.06923868035288384,2.9335545468523976,0.0000000000000000000000000000000000000000000000000000000000000000004187662699467092
ENSMUSG00000035722,Abca7,0.15609211971492487,-0.33785360308270906,0.049246836425192994,0.19726037394899545,0.33785360308270906,0.04924683642518328
ENSMUSG00000041828,Abca8a,0.011144575802624351,-4.052163565616995,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000020485525305804796,0.1851183089184271,4.052163565616995,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000020485525305804796
ENSMUSG00000020620,Abca8b,0.09604752733712131,0.09945276421826632,0.623102983793739,0.08962000379705216,-0.09945276421826632,0.6231029837933136
ENSMUSG00000040584,Abcb1a,0.02451806676577357,-5.162107196855669,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000005012118266244392,0.8784687684020726,5.162107196855669,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000005012118266243253
ENSMUSG00000028970,Abcb1b,0.010072654771226893,-0.703437943650445,0.00029724165888042327,0.01638215123171921,0.703437943650445,0.00029724165888042327
ENSMUSG00000042476,Abcb4,0.01658925405734159,-0.02628819191394971,0.8862159311201846,0.016863979209122717,0.02628819191394971,0.8862159311201846
ENSMUSG00000028973,Abcb8,0.059500124552331835,-0.745495573471135,0.00000700959470746108,0.0997383913225258,0.745495573471135,0.00000700959470746108
ENSMUSG00000023088,Abcc1,0.08692769126046994,-0.3189410748014474,0.06795930545331248,0.10841129491578891,0.3189410748014474,0.06795930545331248
ENSMUSG00000030834,Abcc6,0.0020247397259729734,-4.4896254768717,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010898591833755323,0.04582184065107344,4.4896254768717,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010898591833755323
ENSMUSG00000040136,Abcc8,0.23623097777654425,3.4046728642736968,0.00000000000000000000000000000000000000000000000000000000017223833963973975,0.022260452556041987,-3.4046728642736968,0.00000000000000000000000000000000000000000000000000000000017223833963973975
ENSMUSG00000030249,Abcc9,0.002041754345518965,-5.40301403431287,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000015705772501930966,0.08706631551681358,5.40301403431287,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000015705772501930966
ENSMUSG00000055782,Abcd2,0.04292788511453624,-1.319791734930849,0.0000000000000003374550547351779,0.1071585421745398,1.319791734930849,0.00000000000000033745505473514904
