Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value,Cluster 3 Mean Counts,Cluster 3 Log2 fold change,Cluster 3 Adjusted p value,Cluster 4 Mean Counts,Cluster 4 Log2 fold change,Cluster 4 Adjusted p value,Cluster 5 Mean Counts,Cluster 5 Log2 fold change,Cluster 5 Adjusted p value,Cluster 6 Mean Counts,Cluster 6 Log2 fold change,Cluster 6 Adjusted p value,Cluster 7 Mean Counts,Cluster 7 Log2 fold change,Cluster 7 Adjusted p value,Cluster 8 Mean Counts,Cluster 8 Log2 fold change,Cluster 8 Adjusted p value,Cluster 9 Mean Counts,Cluster 9 Log2 fold change,Cluster 9 Adjusted p value,Cluster 10 Mean Counts,Cluster 10 Log2 fold change,Cluster 10 Adjusted p value
ENSMUSG00000052595,A1cf,0.0007736400360994118,-0.3071877382008541,0.5166306247031781,0.0009165634210055741,0.09802885666144512,0.9413067882277776,0.0004253319583018288,-0.7476194555383344,0.4238462301256104,0,-2.5316798748182947,0.03710053000390601,0,0.12804847696125066,1,0.00041193880437033736,-0.16116662955327143,0.8859511315122269,0,-2.296541550848609,0.08419535835720755,0,-0.35733864562603834,0.8938595556413103,0,-0.3812010230314087,0.8722430908167892,0.01039128002846971,4.096014847250305,0.0000000000013569696434883922
ENSMUSG00000030111,A2m,0.003218342550173553,-4.5901517360317,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000005519554065456992,0.0075254680882562925,-3.032269314513873,0.000000000000000000000000000000000000006269227987767927,0.01587905977660161,-1.6671477374387953,0.0000032403547401856976,0.28420106466559963,3.304181263488016,0.000000000000000000000000000000000000000000000000012855671562692007,0.05114959375674069,0.12650795888546895,1,0.03254316554525665,-0.550578321156622,0.6123028946908419,0.0017720321854032147,-4.69267058757739,0.00000000000000033455932994559594,0.02519274967483627,-0.8955395554699495,0.6640446666230798,0.07860836737018535,0.7474559600391695,0.24876586163922204,0.6600721791997499,4.448430572065138,0.00000000000000000000000000000000000000000000000000000003952868634542064
ENSMUSG00000018697,Aatf,0.14002884653399353,-0.2006115978310734,0.24038313329489286,0.15653938427174147,0.052287014454071024,0.8165173397471466,0.203734008026576,0.4671836582148532,0.0821847788250853,0.14260803423398838,-0.10226302478256022,0.9043392396102521,0.13038131741914294,-0.21862877752477017,1,0.1157548040280648,-0.40361511959293983,0.7232399148833487,0.1557419398504381,0.034497878313142216,0.8859244616428129,0.2526472895962152,0.7488235996226051,0.2668856377131014,0.138803964005012,-0.13128874441616256,1,0.14638150996626897,-0.05644114057639227,0.9637458044496874
ENSMUSG00000015243,Abca1,0.04443788367355021,-2.703236457896754,0.000000000000000000000000000000000000000000000000000000000010031383273752269,0.06859753603525928,-1.7617774792481855,0.000000000000000000007819432563340038,0.2740555584658117,0.5926522409903217,0.022441217767863505,0.8657982434277017,2.673478048245053,0.00000000000000000000000000000000005551914843364641,0.4202290153740068,1.1696722206260433,0.4685427851824659,0.37280461795515535,1.0179380849766733,0.019226900910136943,0.03701578342842271,-2.429430732465584,0.0000000037371418420428695,1.1847790275651573,2.781498890230176,0.000000000009120908940345808,0.3994154882593202,1.1025953597257847,0.03999082618297598,0.667300895741294,1.9204831245646694,0.00000017161801733848236
ENSMUSG00000004668,Abca13,0.0004951296231036236,-0.9201646150916059,0.06320963021814974,0.0008200830608997242,0.15038426172258212,0.8658100003704119,0.0004253319583018288,-0.545985594368684,0.6443085836417953,0.001353338403169522,1.0268104145416714,0.21932310366747057,0.003008799632749452,2.391082882795044,0.7671836099167568,0.0012358164131110122,1.081689894342892,0.5020950986498751,0.0007875698601792065,0.31266849611922254,0.9136232752317344,0.0007197928478524649,0.8583900454293989,0.8669991983759224,0.0007081834898214897,0.8345276680240286,0.8504672541368494,0.002710768703079055,2.100227098537218,0.044809533256846924
ENSMUSG00000024130,Abca3,0.5942174389272362,0.18273109415258826,0.27338470417134414,0.6557287674594088,0.3463884531665906,0.0533536714450909,0.2899346182424133,-0.9943061390220577,0.0009246902149544594,0.46402590498674984,-0.2692412112642437,0.5004888716096597,0.41320848289759143,-0.42102162951917044,1,0.5614725903567699,0.02509958590071515,0.9750278482284821,0.45423091685835737,-0.2989357204474886,0.5439781309033525,0.441233015733561,-0.32763141460988443,1,0.3448853595430655,-0.6870426695022723,0.7123169106290047,0.5213711805588715,-0.08473732761970343,0.9953356957121504
ENSMUSG00000028125,Abca4,0.010212048476512236,-1.7618312973625363,0.000000000000000000000142702110853857,0.006222983226827319,-2.31988488198417,0.0000000000000000000000013812757762937547,0.0035444329858485735,-2.864209720492627,0.000000000005665457376184314,0.00642835741505523,-1.9922320333495058,0.000002806453589545399,0.01002933210916484,-1.17923284196171,1,0.01565367456607282,-0.6418966700221151,0.5159565695027282,0.013979365018180917,-0.8477157381134823,0.0694249669139863,0.0050385499349672545,-2.1262581016498965,0.1268013366717861,0.04674011032821832,0.9599954055607327,0.12009838939174972,0.567002453727369,5.9385835078702325,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010378718656365905
ENSMUSG00000035722,Abca7,0.1343039102668579,-0.49350979237802894,0.0019079434316435027,0.21857625581980294,0.5568659717135804,0.0012033329490921732,0.22173972759468677,0.458014629060441,0.08929955933277255,0.12450713309159603,-0.4496782349529158,0.26573397868948245,0.13038131741914294,-0.3501713769474648,1,0.306482470451531,0.9171541223310005,0.028731126128161085,0.04095363272931874,-2.092235156225545,0.00000019502813628746433,0.24113060403057573,0.5460228835471579,0.442850124751986,0.23794965258002054,0.5265594116931136,0.3976008643252178,0.15541740564319914,-0.1016619177797713,1
ENSMUSG00000041828,Abca8a,0.0094693540418568,-3.2243667608315794,0.00000000000000000000000000000000000000000000000000000000000000000007872779394781536,0.012253005733442937,-2.5528342877186248,0.000000000000000000000000000000008708324002678032,0.43724125313428003,4.4863933704672165,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000015142008627423102,0.027574269964579012,-1.0860191468670957,0.0041578949645509995,0.06619359192048795,0.25032050281214735,1,0.019773062609776196,-1.5162992866745046,0.033197904177050784,0.008072591066836868,-2.856156372240192,0.0000000004406542066344402,0.030231299609803523,-0.882682406821659,0.6468918247257652,0.1862522578230518,1.7849718435497963,0.00033803591521512595,0.10391280028469711,0.9181667712359891,0.03466753917172904
ENSMUSG00000020620,Abca8b,0.10923797309723694,0.3757204595330057,0.01895734578129448,0.07718428808467992,-0.37918683228041505,0.05061624353965551,0.19125760391638902,1.1716368399629409,0.0000010740313405426063,0.04618267300815994,-1.0841012267391372,0.0027323308994360355,0.07221119118598686,-0.3721249355781775,1,0.01853724619666518,-2.3530108469296405,0.0005263079232860737,0.08761714694493673,-0.11137345091318496,0.928396995278575,0.019434406892016552,-2.248688390338778,0.05429785265097632,0.0481564773078613,-0.9634505974229146,0.49993347241312297,0.04337229924926488,-1.129582794361712,0.11246482951557733
