PC,Proportion.Variance.Explained
1,0.028087323636500933
2,0.012357798221122014
3,0.009019454568775303
4,0.008165854602353327
5,0.006417297628672071
6,0.005463424078350032
7,0.0041916128009175085
8,0.0038840059341068715
9,0.0034066987077259353
10,0.003131253425176717
