Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value,Cluster 3 Mean Counts,Cluster 3 Log2 fold change,Cluster 3 Adjusted p value,Cluster 4 Mean Counts,Cluster 4 Log2 fold change,Cluster 4 Adjusted p value,Cluster 5 Mean Counts,Cluster 5 Log2 fold change,Cluster 5 Adjusted p value,Cluster 6 Mean Counts,Cluster 6 Log2 fold change,Cluster 6 Adjusted p value,Cluster 7 Mean Counts,Cluster 7 Log2 fold change,Cluster 7 Adjusted p value,Cluster 8 Mean Counts,Cluster 8 Log2 fold change,Cluster 8 Adjusted p value
ENSMUSG00000052595,A1cf,0.000770180796827357,-0.31809471060312866,0.5155053527268016,0.0009117063233043277,0.08765145649644879,0.9400655917171491,0,-2.6992867320863887,0.0178264347716604,0.00041738644729325864,-0.7774963970769893,0.3336269664654379,0.0078879771077186,3.6853583471507054,0.0000000000437425237345178,0,-2.2999966729925863,0.08436423189381767,0,-1.5229808528059738,0.2562844982340531,0.0007129279123727734,0.6487765549639999,1
ENSMUSG00000030111,A2m,0.0032039521148018047,-4.601058708433973,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010398975672928007,0.007533573303093655,-3.0330906426274504,0.00000000000000000000000000000000000000395909366518621,0.2640057700133362,3.224022018802216,0.0000000000000000000000000000000000000000000000000033659383581549633,0.01572155618137941,-1.6839222817647919,0.000002115601607714428,0.03326668606298715,-0.5242736452106085,0.5351826829323875,0.0017680633801608952,-4.6961257097213664,0.0000000000000003027415965435992,0.5066311974708915,4.1045700318499465,0.000000000000000000000000000000000000000000000000000000011843996433514467,0.024952476933047068,-0.9096022368175412,0.6518253324034504
ENSMUSG00000018697,Aatf,0.14011129055883279,-0.1998324732433141,0.24156581810120514,0.15638162671835812,0.05039514950467394,0.824913707805263,0.1418062080727937,-0.11213432820846014,0.8055083289441152,0.20312807101605254,0.4633074574157048,0.08251718136810726,0.12003443424789176,-0.3528840014634298,0.7026142860485539,0.15578602894084334,0.03493595643135361,0.8838984758082699,0.13960212815174627,-0.12893786548382868,0.9949431293063216,0.2523764809799618,0.7473721889349205,0.2648930132625793
ENSMUSG00000015243,Abca1,0.044516450056621235,-2.7041859997359556,0.000000000000000000000000000000000000000000000000000000000006125409668761586,0.06933766511446071,-1.7465966064970875,0.000000000000000000012945156224929532,0.8477974583387389,2.6980172299693512,0.000000000000000000000000000000000000011215500216424991,0.27450115350319976,0.5966959223797725,0.020338875857271753,0.3450132595810832,0.9072391926366496,0.02191843504327087,0.03693287949669426,-2.4328858546095615,0.0000000034220551995966777,0.5954391240650775,1.776810055138414,0.000000028943546425495962,1.1806086228893127,2.777241254525451,0.000000000008089577451206194
ENSMUSG00000004668,Abca13,0.0004929157099695084,-0.9310715874938822,0.06298562490500564,0.0008157372366407143,0.1400068615575858,0.8663493658016648,0.0016718845539128947,1.3551610519359887,0.06956024886882863,0.0005565152630576781,-0.22968689477329818,0.8938397272432179,0.0010288665792676436,0.808215094936239,0.6945794443455955,0.0007858059467381757,0.3092133739752452,0.9121190590863042,0.001966227157066849,1.6214090565292008,0.10598899854279417,0.0007129279123727734,0.8443273640818063,0.8659749450501183
ENSMUSG00000024130,Abca3,0.5935321292670344,0.18036463850475093,0.28003959464799877,0.65494103193583,0.344608432052516,0.05444428880882317,0.4612881473750578,-0.28068967513635346,0.44618990669922876,0.29091835376340125,-0.9905206916888012,0.0008608123071388026,0.533981754639907,-0.04993193052513922,1,0.453999385727981,-0.2997539847304057,0.5419801459589227,0.456164700439509,-0.2852016980385832,0.6676065184253466,0.44058944984637394,-0.3298267664639213,0.998213104986179
ENSMUSG00000028125,Abca4,0.010258808213740395,-1.7570798910666845,0.00000000000000000000015437871797912731,0.006237990633134874,-2.3184232332346406,0.0000000000000000000000011342803515433973,0.008207433264663302,-1.6518838628555965,0.00002123139008811612,0.0034782203941104884,-2.894086662031283,0.0000000000023972194558802988,0.016804820794704845,-0.5486799233460449,0.5073291670040346,0.013948055554602618,-0.8511708602574597,0.06684048318981975,0.42601588403115065,5.604332110008999,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000008999498015323432,0.004990495386609414,-2.140320782997489,0.11973881140686839
ENSMUSG00000035722,Abca7,0.1341654948073256,-0.49701458396233056,0.001744555019006497,0.21823370307305698,0.5546996786065459,0.0012400883509964909,0.12371945698955422,-0.46314288265383485,0.2094245824710271,0.22051917298660498,0.4499584725759793,0.09280922139275942,0.29665653035550393,0.8748110946588599,0.02044758719210639,0.040861909230385136,-2.095690278369522,0.00000017957762604860652,0.18154830750250572,0.12904426829633797,0.7202809972018385,0.24168256229437018,0.5494799559087675,0.43504713524668215
ENSMUSG00000041828,Abca8a,0.009611856344405414,-3.205283326389674,0.0000000000000000000000000000000000000000000000000000000000000000001750140764237171,0.0121400894629471,-2.5692203354959497,0.0000000000000000000000000000000030027345687978154,0.029485963950827417,-0.9934937794510894,0.005224430916894384,0.4354731933426332,4.525583337953952,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000232483684169748,0.030180086325184215,-0.9157238189337278,0.15929604932038874,0.0080545109540663,-2.8596114943841693,0.00000000041157761460624276,0.1432068779397022,1.4341118963131865,0.00003016424288394904,0.029942972319656484,-0.8967450881692507,0.627986872685323
ENSMUSG00000020620,Abca8b,0.10908840806262683,0.3732977690939907,0.019742868691848766,0.07749503748086786,-0.3724415387385447,0.054760433198724465,0.04635679899485754,-1.0859554395661015,0.0013613872264672206,0.19018909114996152,1.1650926200847405,0.000001025298405798669,0.01954846500608523,-2.2897443612256674,0.00009966292217461092,0.08801026603467568,-0.1045437515888521,0.9384783263159097,0.047844860821959996,-0.9988735574716721,0.07660099306291687,0.01853612572169211,-2.315411378142848,0.04405284674972627
