Barcode,Cluster
aaaalabd-1,14
aaabcnhh-1,14
aaacnmip-1,14
aaadikih-1,14
aaaeinek-1,14
aaafnjff-1,8
aaagpiko-1,14
aaaimbga-1,14
aaaimine-1,14
aaalbjog-1,14
aaalgaap-1,23
aaanijpc-1,23
aaaoiopk-1,14
aaaolaaa-1,14
aaaplpeg-1,14
aabaekgm-1,5
aabagmcb-1,16
aabainfe-1,24
aabakdbj-1,4
aabbijjj-1,4
aabdelgb-1,4
aabdmpen-1,10
aabecgje-1,18
aabfbmml-1,11
aabgacjd-1,14
aabgmmhh-1,14
aabhojob-1,14
aabilkdm-1,10
aabiojde-1,4
aabiopkh-1,18
aabkfjcm-1,4
aabkkjnf-1,11
aabkleid-1,12
aaboicbe-1,2
aabpjmhp-1,5
aabpmmjd-1,4
aacajoli-1,2
aacblfdk-1,24
aaccaohh-1,9
aaccihko-1,24
aacgogmd-1,24
aackfjoi-1,5
aaclkfha-1,4
aacmhjai-1,9
aacnhajf-1,14
aacnhcip-1,6
aadaekjp-1,9
aaddnanc-1,9
aadegfgc-1,9
aadegfmc-1,9
aadfbemo-1,9
aadgdmbb-1,9
aadggknk-1,9
aadhikdf-1,9
aadidlmb-1,9
aadkhgkp-1,15
aadkihdk-1,4
aadkiikh-1,4
aadndlin-1,6
aaeaejhf-1,5
aaecfagf-1,2
aaedmpmg-1,14
aaefagfh-1,2
aaefhajj-1,4
aaegbgnc-1,5
aaegiihj-1,2
aaegphhj-1,2
aaehdklb-1,2
aaehjncn-1,2
aaeihmfm-1,5
aaeilamh-1,14
aaekombm-1,5
aaempijb-1,10
aafbjdbg-1,2
aafcffbj-1,24
aafcnlng-1,5
aafgdnbp-1,2
aafhfnoe-1,22
aafibgmm-1,9
aaficjdm-1,2
aafjkfno-1,4
aafjopoo-1,2
aafkehef-1,2
aaflpjhi-1,4
aafnndmg-1,4
aafodokb-1,2
aafpgpjg-1,10
aafpoboj-1,10
aagabgeo-1,2
aagbfpeo-1,4
aagelnjc-1,2
aagemmkk-1,14
aagfdkba-1,16
aaggdflf-1,14
aagghpdk-1,14
aaggnhlf-1,14
aaggoacc-1,14
aagichhb-1,5
aagjmkcn-1,2
aagkhfdf-1,2
aaglmlpd-1,5
aagnepdf-1,9
aagnmljk-1,9
aagoibol-1,9
aahaahel-1,9
aahacpeh-1,5
aahcapbo-1,9
aahcckng-1,5
aahgkgid-1,9
aahgmiid-1,9
aahiapdn-1,5
aahjmhmm-1,5
aahlabmf-1,12
aahlbkhe-1,5
aahlcehe-1,5
aahldcje-1,9
aahmeejb-1,3
aahmjhep-1,16
aahmokdn-1,9
aahnfcic-1,23
aahnjnab-1,23
aahpcnli-1,23
aaiajhnn-1,23
aaibmdgb-1,23
aaiekoom-1,1
aaikmeli-1,23
aaiofiin-1,23
aaipbjch-1,23
aaipoape-1,23
aajcmcaa-1,23
aajdidba-1,23
aajdoglp-1,23
aajeadno-1,23
aajeeibk-1,23
aajejgdp-1,23
aajepegm-1,23
aajfbaah-1,23
aajgjnil-1,23
aajgomin-1,23
aajhoobd-1,23
aajkifmn-1,23
aajkodic-1,23
aajlhicb-1,18
aajlmfak-1,10
aajlolen-1,5
aajnjgie-1,18
aajohfbk-1,19
aakajpcp-1,19
aakaljak-1,12
aakbgndb-1,8
aakbpfkl-1,14
aakdndog-1,11
aakejmbb-1,10
aakfbdhj-1,18
aakfegla-1,11
aakfhlhk-1,11
aakjhdap-1,11
aakjoahe-1,4
aakkfhma-1,11
aakkhbbb-1,11
aakkoocj-1,4
aakkpnig-1,4
aakoccjl-1,19
aakoffgl-1,11
aakpbbbo-1,4
aakpfafd-1,11
aakpnoli-1,11
aalajpdb-1,11
aalcbbkg-1,12
aalcdlim-1,23
aalcdofj-1,23
aalcogij-1,23
aalcplpe-1,18
aaldaijb-1,11
aaldfoko-1,18
aaleaafb-1,23
aalhjddj-1,4
aalhomeb-1,4
aalhpbmo-1,2
aalibhlc-1,1
aaljcibk-1,23
aalkenob-1,4
aalkkaca-1,2
aallfjkn-1,18
aalmioel-1,2
aalnobjl-1,23
aalockep-1,23
aalpbpbo-1,23
aalpcokc-1,23
aambajed-1,23
aambbfaa-1,4
aamcbehj-1,4
aamdmibc-1,23
aameklce-1,2
aamfpknc-1,7
aamgbggd-1,23
aamgikak-1,23
aamjfcad-1,23
aamldajl-1,23
aamlfejf-1,12
aamlhlob-1,23
aammdamc-1,23
aammemii-1,23
aammopdg-1,23
aamnbmjf-1,11
aamoaani-1,4
aamomddg-1,4
aanaejmm-1,23
aancbkjk-1,13
aandjknm-1,23
aandopgf-1,23
aaneknaa-1,4
aanfbkhf-1,11
aanhlijp-1,5
aanigocf-1,4
aanihckd-1,10
aanikfhe-1,23
aanjkgoh-1,23
aankfpig-1,23
aanlfcog-1,1
aanmacal-1,1
aanmanhn-1,5
aanmbocf-1,18
aanmjdem-1,18
aanmpcdb-1,18
aannjcoo-1,23
aanonfji-1,23
aaoajnlg-1,23
aaobcgml-1,23
aaobelmi-1,23
aaobgedj-1,23
aaobkdip-1,23
aaobkocc-1,23
aaoeejgo-1,23
aaofnjho-1,23
aaogjhnl-1,7
aaoigkip-1,7
aaoijebj-1,7
aaojdjeg-1,7
aaojihlg-1,7
aaokdekm-1,7
aaokdnii-1,7
aaoldool-1,7
aaolgidi-1,14
aaollmgl-1,7
aaonpnod-1,7
aapalkpf-1,7
aapbglik-1,7
aapbhcie-1,7
aapdiacj-1,7
aapeaile-1,18
aapenike-1,7
aapgfnlp-1,7
aapgiige-1,6
aapgnbmk-1,7
aaphjhdn-1,5
aapjfgnd-1,16
aapkhldb-1,5
aaplkcdb-1,5
aapmbmch-1,5
aapnenkj-1,7
aapoakkh-1,18
aappcdda-1,18
aappkmop-1,7
abachdao-1,7
abacipip-1,18
abadobik-1,7
abaeeoek-1,7
abaganfl-1,7
abagdenp-1,5
abagnjco-1,5
abahhcgn-1,5
abahpcfe-1,7
abajjkfe-1,7
abaknoom-1,7
abalgiod-1,7
abalkgao-1,18
abamcoji-1,7
abaocjlf-1,5
abaofene-1,7
abaonefg-1,7
abaophnm-1,7
abbahohg-1,7
abbbcije-1,7
abbfnoij-1,7
abbgmkdo-1,7
abbhbnfk-1,18
abbiaidb-1,14
abbifcic-1,7
abbjccmb-1,7
abbjgaff-1,7
abbjokhp-1,7
abbliion-1,5
abbllboo-1,14
abbohdlm-1,5
abbolfok-1,5
abcamgdk-1,5
abcbagfl-1,5
abcbipfe-1,5
abcdjfep-1,5
abceabdn-1,19
abcepkoc-1,5
abchafkg-1,5
abcheooc-1,5
abchkbcd-1,5
abciaoki-1,19
abcioebl-1,5
abcjpdep-1,5
abckmaae-1,7
abclmeid-1,7
abcmcood-1,5
abcndchj-1,12
abdaanbh-1,5
abdblkdk-1,6
abdcehkp-1,5
abddobmk-1,5
abdejalp-1,5
abdekmmf-1,5
abdepcoh-1,2
abdfleeh-1,5
abdfoffe-1,4
abdhebhe-1,5
abdijccd-1,7
abdijmje-1,7
abdjdgce-1,5
abdjfepk-1,25
