Barcode,Cluster
aaaalabd-1,4
aaabcnhh-1,4
aaacnmip-1,4
aaadikih-1,4
aaaeinek-1,4
aaafnjff-1,2
aaagpiko-1,4
aaaimbga-1,4
aaaimine-1,4
aaalbjog-1,4
aaalgaap-1,4
aaanijpc-1,4
aaaoiopk-1,4
aaaolaaa-1,4
aaaplpeg-1,4
aabaekgm-1,1
aabagmcb-1,4
aabainfe-1,1
aabakdbj-1,1
aabbijjj-1,1
aabdelgb-1,1
aabdmpen-1,1
aabecgje-1,1
aabfbmml-1,1
aabgacjd-1,4
aabgmmhh-1,4
aabhojob-1,4
aabilkdm-1,1
aabiojde-1,1
aabiopkh-1,1
aabkfjcm-1,1
aabkkjnf-1,1
aabkleid-1,2
aaboicbe-1,1
aabpjmhp-1,1
aabpmmjd-1,1
aacajoli-1,1
aacblfdk-1,1
aaccaohh-1,1
aaccihko-1,1
aacgogmd-1,1
aackfjoi-1,1
aaclkfha-1,1
aacmhjai-1,1
aacnhajf-1,4
aacnhcip-1,4
aadaekjp-1,1
aaddnanc-1,1
aadegfgc-1,1
aadegfmc-1,1
aadfbemo-1,1
aadgdmbb-1,1
aadggknk-1,1
aadhikdf-1,1
aadidlmb-1,1
aadkhgkp-1,3
aadkihdk-1,1
aadkiikh-1,1
aadndlin-1,1
aaeaejhf-1,1
aaecfagf-1,1
aaedmpmg-1,4
aaefagfh-1,1
aaefhajj-1,1
aaegbgnc-1,1
aaegiihj-1,1
aaegphhj-1,1
aaehdklb-1,1
aaehjncn-1,1
aaeihmfm-1,1
aaeilamh-1,4
aaekombm-1,1
aaempijb-1,1
aafbjdbg-1,1
aafcffbj-1,1
aafcnlng-1,1
aafgdnbp-1,1
aafhfnoe-1,3
aafibgmm-1,1
aaficjdm-1,1
aafjkfno-1,1
aafjopoo-1,1
aafkehef-1,1
aaflpjhi-1,1
aafnndmg-1,1
aafodokb-1,1
aafpgpjg-1,1
aafpoboj-1,1
aagabgeo-1,1
aagbfpeo-1,1
aagelnjc-1,1
aagemmkk-1,4
aagfdkba-1,4
aaggdflf-1,4
aagghpdk-1,4
aaggnhlf-1,4
aaggoacc-1,4
aagichhb-1,1
aagjmkcn-1,1
aagkhfdf-1,1
aaglmlpd-1,1
aagnepdf-1,1
aagnmljk-1,1
aagoibol-1,1
aahaahel-1,1
aahacpeh-1,1
aahcapbo-1,1
aahcckng-1,1
aahgkgid-1,1
aahgmiid-1,1
aahiapdn-1,1
aahjmhmm-1,1
aahlabmf-1,4
aahlbkhe-1,1
aahlcehe-1,1
aahldcje-1,1
aahmeejb-1,2
aahmjhep-1,4
aahmokdn-1,1
aahnfcic-1,2
aahnjnab-1,2
