Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value,Cluster 3 Mean Counts,Cluster 3 Log2 fold change,Cluster 3 Adjusted p value,Cluster 4 Mean Counts,Cluster 4 Log2 fold change,Cluster 4 Adjusted p value,Cluster 5 Mean Counts,Cluster 5 Log2 fold change,Cluster 5 Adjusted p value,Cluster 6 Mean Counts,Cluster 6 Log2 fold change,Cluster 6 Adjusted p value
ENSMUSG00000052595,A1cf,0.0007712100702796397,-0.31484078764622403,0.5156518555631104,0.0007295412247257999,-0.3678644630515375,0.46542867429123463,0,-2.962722422950323,0.0055510889025411035,0.0004126408686899369,-0.7956406091766848,0.3353170196190946,0.008297919196342454,3.7861322425919903,0.000000000007116425323864166,0,-1.5637192331018905,0.25639048122701036
ENSMUSG00000030111,A2m,0.0032390822951744867,-4.5837393505289175,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000044771436212886184,0.006297092676580588,-3.4232895379368413,0.000000000000000000000000000000000000000000000000000000013896671185689242,0.22667345120943982,2.997262451246588,0.0000000000000000000000000000000000000000000000048959229361495667,0.01595544692267756,-1.6634171147148482,0.0000024449571322432067,0.033191676785369814,-0.52732743844608,0.5417016902457044,0.4962515730202364,4.079545092333186,0.000000000000000000000000000000000000000000000000000000008069814519437906
ENSMUSG00000018697,Aatf,0.14014429397121614,-0.19911698427092794,0.24415449185573868,0.15635220353070828,0.05487253870637465,0.797616758352139,0.15909618722025418,0.06938101196436275,0.8239773500235782,0.20233157261429904,0.45747365791637096,0.08542457583350402,0.12274005477923212,-0.3197321362934318,0.7509396731162452,0.14224177478600605,-0.1011688062687428,1
ENSMUSG00000015243,Abca1,0.046087513799911266,-2.6476712469553694,0.0000000000000000000000000000000000000000000000000000000009021189958031106,0.06312451439206394,-1.9949268441421306,0.0000000000000000000000000000014430941293036153,0.9015450609147737,2.996775443405265,0.0000000000000000000000000000000000000000000000000000001125511368568021,0.2770195698471776,0.612719531778857,0.016377511620921062,0.3502413394122877,0.930082281621349,0.018754822616393576,0.6184008997983538,1.8430789802710346,0.00000000394060494651902
ENSMUSG00000004668,Abca13,0.0004935744449789695,-0.9278176645369758,0.06315837818059991,0.0008063350378548315,0.10524209248283611,0.9383761317381318,0.0015446231768956717,1.2352169546615848,0.06438425015781725,0.0005501878249199158,-0.2478311068729937,0.7768641973610871,0.0010372398995428067,0.8203479579299042,0.6931654176823632,0.0019135664769417856,1.5806706762332823,0.11255117931230933
ENSMUSG00000024130,Abca3,0.5930296956422317,0.17801455601174798,0.28716254610756764,0.615425618416059,0.2389609328814324,0.1755555849033818,0.45411921400732747,-0.30953566877939287,0.3301819069716039,0.2931125637260852,-0.9799600449416583,0.000925621637668745,0.5386732544958975,-0.036839316948685585,1,0.4624452319275982,-0.2651189158275986,0.6909733873304483
ENSMUSG00000028125,Abca4,0.010303366538935986,-1.7486314017062927,0.00000000000000000000023692306703735084,0.007640984406338641,-2.1083644103528894,0.00000000000000000000000009806986914180972,0.0075943972864037194,-1.7860188888769502,0.0000005207137587711079,0.0034386739057494743,-2.9122308741309766,0.0000000000015557880430487238,0.016595838392684907,-0.5664442231201194,0.4939909490360351,0.4158817809886814,5.576661492726407,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000006373767000279475
ENSMUSG00000035722,Abca7,0.13471497507644747,-0.4878482986420951,0.002144808177484987,0.1819629402092403,0.19046921420426832,0.30172350766301476,0.14480842283396922,-0.22376238484324862,0.5099706978157804,0.22131305257403616,0.45644865251560596,0.08611331984028617,0.29734210453560456,0.878008743223778,0.020315516740077835,0.1811509598171557,0.12583614053752568,0.7208405467588098
ENSMUSG00000041828,Abca8a,0.009501308065845161,-3.2219631547920176,0.000000000000000000000000000000000000000000000000000000000000000000066047047753462694,0.011096705997145061,-2.821224807701821,0.0000000000000000000000000000000000000000000001924284596652832,0.02793193578219673,-1.0883452169280048,0.0006616840224859654,0.4342357408180436,4.548585781557248,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000012763504421179413,0.027313984021293907,-1.0603375673312208,0.09439344058040847,0.14256070253216302,1.4294983207115894,0.000024507565018678953
ENSMUSG00000020620,Abca8b,0.10883316511786276,0.36652449983630175,0.022213236259097328,0.07951999349511218,-0.3531281356038183,0.049363806594608844,0.04221970016848169,-1.2402198555888475,0.000052487462660607505,0.18912706481622107,1.1572419129948162,0.0000011177962596281158,0.01867031819177052,-2.354813691878556,0.00007119702645102773,0.047520234177387675,-1.0098774171834801,0.06621100894031819
