Barcode,Cluster
aaaalabd-1,10
aaabcnhh-1,10
aaacnmip-1,10
aaadikih-1,10
aaaeinek-1,10
aaafnjff-1,5
aaagpiko-1,10
aaaimbga-1,10
aaaimine-1,10
aaalbjog-1,10
aaalgaap-1,10
aaanijpc-1,10
aaaoiopk-1,10
aaaolaaa-1,10
aaaplpeg-1,10
aabaekgm-1,1
aabagmcb-1,9
aabainfe-1,7
aabakdbj-1,1
aabbijjj-1,1
aabdelgb-1,1
aabdmpen-1,1
aabecgje-1,2
aabfbmml-1,1
aabgacjd-1,10
aabgmmhh-1,9
aabhojob-1,10
aabilkdm-1,1
aabiojde-1,1
aabiopkh-1,2
aabkfjcm-1,1
aabkkjnf-1,1
aabkleid-1,5
aaboicbe-1,1
aabpjmhp-1,2
aabpmmjd-1,1
aacajoli-1,1
aacblfdk-1,7
aaccaohh-1,7
aaccihko-1,1
aacgogmd-1,2
aackfjoi-1,2
aaclkfha-1,1
aacmhjai-1,7
aacnhajf-1,8
aacnhcip-1,6
aadaekjp-1,7
aaddnanc-1,7
aadegfgc-1,7
aadegfmc-1,7
aadfbemo-1,7
aadgdmbb-1,7
aadggknk-1,7
aadhikdf-1,7
aadidlmb-1,7
aadkhgkp-1,5
aadkihdk-1,1
aadkiikh-1,1
aadndlin-1,2
aaeaejhf-1,2
aaecfagf-1,1
aaedmpmg-1,10
aaefagfh-1,1
aaefhajj-1,2
aaegbgnc-1,2
aaegiihj-1,1
aaegphhj-1,1
aaehdklb-1,1
aaehjncn-1,1
aaeihmfm-1,2
aaeilamh-1,10
aaekombm-1,2
aaempijb-1,1
aafbjdbg-1,1
aafcffbj-1,1
aafcnlng-1,2
aafgdnbp-1,1
aafhfnoe-1,3
aafibgmm-1,7
aaficjdm-1,1
aafjkfno-1,1
aafjopoo-1,1
aafkehef-1,1
aaflpjhi-1,1
aafnndmg-1,1
aafodokb-1,1
aafpgpjg-1,1
aafpoboj-1,1
aagabgeo-1,1
aagbfpeo-1,1
aagelnjc-1,1
aagemmkk-1,10
aagfdkba-1,9
aaggdflf-1,10
aagghpdk-1,10
aaggnhlf-1,10
aaggoacc-1,10
aagichhb-1,2
aagjmkcn-1,1
aagkhfdf-1,1
aaglmlpd-1,2
aagnepdf-1,7
aagnmljk-1,7
aagoibol-1,7
aahaahel-1,7
aahacpeh-1,2
aahcapbo-1,7
aahcckng-1,2
aahgkgid-1,7
aahgmiid-1,7
aahiapdn-1,2
aahjmhmm-1,2
aahlabmf-1,8
aahlbkhe-1,2
aahlcehe-1,2
aahldcje-1,7
aahmeejb-1,4
aahmjhep-1,9
aahmokdn-1,7
aahnfcic-1,10
aahnjnab-1,10
aahpcnli-1,10
aaiajhnn-1,10
aaibmdgb-1,10
aaiekoom-1,3
aaikmeli-1,10
aaiofiin-1,10
aaipbjch-1,10
aaipoape-1,10
aajcmcaa-1,10
aajdidba-1,10
aajdoglp-1,10
aajeadno-1,10
aajeeibk-1,4
aajejgdp-1,10
aajepegm-1,10
aajfbaah-1,10
aajgjnil-1,10
aajgomin-1,10
aajhoobd-1,10
aajkifmn-1,10
aajkodic-1,10
aajlhicb-1,2
aajlmfak-1,1
aajlolen-1,2
aajnjgie-1,2
aajohfbk-1,2
aakajpcp-1,2
aakaljak-1,1
aakbgndb-1,5
aakbpfkl-1,10
aakdndog-1,1
aakejmbb-1,1
aakfbdhj-1,2
aakfegla-1,1
aakfhlhk-1,1
aakjhdap-1,1
aakjoahe-1,1
aakkfhma-1,1
aakkhbbb-1,1
aakkoocj-1,1
aakkpnig-1,1
aakoccjl-1,2
aakoffgl-1,1
aakpbbbo-1,1
aakpfafd-1,1
aakpnoli-1,1
aalajpdb-1,1
aalcbbkg-1,8
aalcdlim-1,10
aalcdofj-1,4
aalcogij-1,4
aalcplpe-1,2
aaldaijb-1,1
aaldfoko-1,2
aaleaafb-1,4
aalhjddj-1,1
aalhomeb-1,1
aalhpbmo-1,1
aalibhlc-1,3
aaljcibk-1,4
aalkenob-1,1
aalkkaca-1,1
aallfjkn-1,2
aalmioel-1,1
aalnobjl-1,10
aalockep-1,10
aalpbpbo-1,4
aalpcokc-1,10
aambajed-1,4
aambbfaa-1,1
aamcbehj-1,1
aamdmibc-1,10
aameklce-1,1
aamfpknc-1,2
aamgbggd-1,10
aamgikak-1,10
aamjfcad-1,10
aamldajl-1,10
aamlfejf-1,8
aamlhlob-1,10
aammdamc-1,10
aammemii-1,4
aammopdg-1,10
aamnbmjf-1,1
aamoaani-1,1
aamomddg-1,1
aanaejmm-1,10
aancbkjk-1,2
aandjknm-1,4
aandopgf-1,10
aaneknaa-1,1
aanfbkhf-1,1
aanhlijp-1,2
aanigocf-1,1
aanihckd-1,1
aanikfhe-1,10
aanjkgoh-1,10
aankfpig-1,10
aanlfcog-1,3
aanmacal-1,3
aanmanhn-1,2
aanmbocf-1,2
aanmjdem-1,2
aanmpcdb-1,2
aannjcoo-1,10
aanonfji-1,10
aaoajnlg-1,10
aaobcgml-1,10
aaobelmi-1,10
aaobgedj-1,10
aaobkdip-1,10
aaobkocc-1,10
aaoeejgo-1,10
aaofnjho-1,10
aaogjhnl-1,2
aaoigkip-1,2
aaoijebj-1,2
aaojdjeg-1,2
aaojihlg-1,2
aaokdekm-1,2
aaokdnii-1,2
aaoldool-1,2
aaolgidi-1,10
aaollmgl-1,2
aaonpnod-1,2
aapalkpf-1,2
aapbglik-1,2
aapbhcie-1,2
aapdiacj-1,2
aapeaile-1,2
aapenike-1,2
aapgfnlp-1,2
aapgiige-1,6
aapgnbmk-1,2
aaphjhdn-1,2
aapjfgnd-1,9
aapkhldb-1,2
aaplkcdb-1,2
aapmbmch-1,2
aapnenkj-1,2
aapoakkh-1,2
aappcdda-1,2
aappkmop-1,2
abachdao-1,2
abacipip-1,2
abadobik-1,2
abaeeoek-1,2
abaganfl-1,2
abagdenp-1,2
abagnjco-1,2
abahhcgn-1,2
abahpcfe-1,2
abajjkfe-1,2
abaknoom-1,2
abalgiod-1,2
abalkgao-1,2
abamcoji-1,2
abaocjlf-1,2
abaofene-1,2
abaonefg-1,2
abaophnm-1,2
abbahohg-1,2
abbbcije-1,2
abbfnoij-1,2
abbgmkdo-1,2
abbhbnfk-1,2
abbiaidb-1,8
abbifcic-1,2
abbjccmb-1,2
abbjgaff-1,2
abbjokhp-1,2
abbliion-1,2
abbllboo-1,10
abbohdlm-1,2
abbolfok-1,2
abcamgdk-1,2
abcbagfl-1,2
abcbipfe-1,2
abcdjfep-1,2
abceabdn-1,2
abcepkoc-1,2
abchafkg-1,2
abcheooc-1,2
abchkbcd-1,2
abciaoki-1,2
abcioebl-1,2
abcjpdep-1,2
abckmaae-1,2
abclmeid-1,2
abcmcood-1,2
abcndchj-1,8
abdaanbh-1,2
abdblkdk-1,6
abdcehkp-1,2
abddobmk-1,2
abdejalp-1,2
abdekmmf-1,2
abdepcoh-1,1
abdfleeh-1,2
abdfoffe-1,1
abdhebhe-1,2
abdijccd-1,2
abdijmje-1,2
abdjdgce-1,2
abdjfepk-1,3
abdllijl-1,2
abdmkkbb-1,2
abdnepdn-1,2
abdobpkg-1,10
abdoggdm-1,10
abdoicmi-1,10
abdpjkge-1,9
abebijhj-1,2
abeckdnl-1,2
abeejmhb-1,2
abegcipd-1,9
abegfehf-1,10
abegkihn-1,8
abeiaiaf-1,2
abeidobh-1,2
abekidfm-1,2
abelgacj-1,2
abepoafk-1,1
abfaafio-1,10
abfbhnpj-1,1
abfdomfc-1,1
abfedmfh-1,2
abfhpbkg-1,3
abfkjfaj-1,10
abfkphap-1,2
abfohbbp-1,2
abfokdmk-1,1
abgaalph-1,1
abgbepoc-1,1
abgeamhc-1,3
abgenmai-1,1
abgggpbc-1,1
abggkjil-1,2
abghinpi-1,1
abgiejco-1,1
abgimckn-1,1
abgjdmag-1,1
abgkapki-1,2
abgkbgbe-1,1
abgkoafl-1,2
abgkooal-1,1
abgkpimn-1,1
abgldahm-1,4
abgnbodl-1,1
abgnnhec-1,1
abgphfdj-1,1
abhabhcp-1,1
abhacaob-1,2
abhafpgj-1,1
abhcfild-1,1
abhdbohc-1,1
abhggagj-1,1
abhgiemd-1,1
abhhallj-1,1
abhiaoae-1,1
abhibdam-1,1
abhjkpnh-1,1
abhmdakb-1,1
abhmohgb-1,1
abhnnflj-1,1
abhnpgff-1,1
abhoaiej-1,1
abhpgmcm-1,1
abhpmkgh-1,2
abibgpko-1,2
abidhnom-1,6
abidloja-1,1
abifllkf-1,2
abiialmf-1,1
abiieppk-1,1
abiikokc-1,2
abikigoa-1,1
abimncal-1,1
abinfddh-1,3
abiohnad-1,1
abiolfea-1,1
abiomahg-1,2
abioohgb-1,1
abjbllch-1,1
abjdphda-1,3
abjecmnn-1,3
abjfkdbo-1,1
abjfllcn-1,1
abjfpioe-1,1
abjiffoi-1,1
abjjglih-1,1
abjkoegj-1,1
abjmdkke-1,1
abjmmkjb-1,1
abjoajak-1,1
abjpeghl-1,1
abjpelgk-1,1
abkdbkbm-1,1
abkfdgdi-1,1
abkfhcoh-1,1
abkfidke-1,1
abkgfnfh-1,1
abkhngeg-1,1
abkhpidm-1,1
abkkiocn-1,1
abklccoo-1,2
abklfdde-1,2
abkphpbn-1,1
ablbidfi-1,1
abldcbfm-1,1
abldemdn-1,1
abldpoll-1,2
abledopj-1,1
ablenfmo-1,1
ablfkhem-1,1
ablhpela-1,1
ablifahb-1,1
ablijgdi-1,1
abljidgm-1,1
ablllndb-1,1
abllmhdj-1,2
ablmnbaa-1,1
ablpblei-1,1
abmabedd-1,1
abmappgi-1,1
abmbbcnj-1,1
abmbmona-1,2
abmbpjla-1,1
abmdjfcg-1,1
abmejjgg-1,2
abmemcgp-1,1
abmgbdef-1,1
abmhahbc-1,2
abmkanck-1,1
abmlpnhn-1,1
abmmeaml-1,1
abmmnepi-1,2
abmmpjnp-1,2
abmoghap-1,1
abmopico-1,1
abnaaeca-1,1
abnajilb-1,1
abncceng-1,1
abnenpep-1,2
abngegeg-1,1
abnhganc-1,1
abnhifah-1,1
abnjkocb-1,1
abnllgmh-1,2
abnmabkd-1,1
abnmflcd-1,1
abnnigim-1,1
abnnpbil-1,1
abocpfcg-1,2
aboeapih-1,5
abogmcda-1,1
abohanno-1,1
abohghok-1,1
aboipmek-1,1
abojlpje-1,2
abojnalj-1,1
abokbpkk-1,1
abokjhjc-1,1
abokjphb-1,1
abolopbg-1,1
abomabig-1,2
aboncbch-1,1
abonejch-1,1
abooaopb-1,1
aboocgap-1,1
aboofehh-1,1
abpajnho-1,1
abpciihi-1,1
abphmhfe-1,1
abpibopj-1,2
abpifeol-1,1
abpjechh-1,1
abpkgcfn-1,1
abpknjkd-1,1
abpkoien-1,1
abplknok-1,2
abplkogo-1,2
abpmbogi-1,1
abpngbhb-1,5
abpnoban-1,5
abpofdef-1,5
abpoffak-1,1
abpohgep-1,1
abppaflm-1,1
acaadphc-1,1
acadfhon-1,1
acadpoli-1,1
acaelehm-1,1
acafkkab-1,1
acafojej-1,10
acagfope-1,1
acajhfdl-1,1
acajlhfj-1,2
acakgghi-1,2
acaljpmd-1,1
acamhgaj-1,1
acamobla-1,1
acannhie-1,2
acaphoho-1,2
acapihbm-1,1
acappfnk-1,1
acbcjalp-1,1
acbdajah-1,1
acbdceei-1,1
acbejkjn-1,1
acbhjbni-1,1
acbhomna-1,1
acbifiai-1,1
acbjagke-1,1
acbjffcn-1,1
acbjgmdj-1,1
acblhcfg-1,1
acblicii-1,1
acblippl-1,1
acbmhiho-1,2
acbngmge-1,1
acbofbpb-1,1
acbogblk-1,1
acbpbphh-1,1
acbphjmm-1,1
accamnpe-1,1
accamoee-1,6
accbhaje-1,1
acccmhpj-1,2
accdfooi-1,1
accdneck-1,2
accdngcl-1,1
acceinkh-1,2
acchebal-1,1
acchipcm-1,1
acchogmp-1,1
acciaepb-1,1
acciohlk-1,1
accipifd-1,1
accjaipj-1,2
accjiemj-1,2
acckgieg-1,1
acclfbeo-1,2
accmefmf-1,1
accnalna-1,1
accpagbe-1,1
accpnikc-1,1
accpoece-1,1
acdabhbo-1,1
acdbjpig-1,1
acdfabbm-1,1
acdfkmoj-1,1
acdiebei-1,1
acdjjhhp-1,1
acdjknim-1,10
acdjndjp-1,1
acdkjahf-1,1
acdlmglc-1,1
acdmbjah-1,1
acdocadl-1,2
acdoidlp-1,1
acdolhoe-1,1
acdphbhn-1,2
aceacoke-1,1
acebjmcc-1,2
acebpcjp-1,1
acecdkbb-1,1
acedaced-1,1
acedegpb-1,1
aceghmgo-1,1
acejcgdi-1,2
acejoifb-1,1
acekccio-1,1
acekhnmm-1,2
acephnka-1,1
acfadepn-1,2
acfanhji-1,10
acfbgfpp-1,4
acfbhcji-1,4
acfcacjp-1,3
acfcjnhd-1,2
acfdbmbn-1,5
acffdkmi-1,5
acfgdagh-1,2
acfgffpd-1,8
acficlni-1,2
acfjmceg-1,6
acfldelh-1,4
acflmnee-1,4
acfmidfo-1,3
acfncdgp-1,5
acfnnhnh-1,2
acfppmho-1,3
acgckkpc-1,8
acgcmocn-1,3
acgdmppp-1,4
acgepakn-1,2
acghibpi-1,2
acghmnch-1,4
acgjddnj-1,4
acgjdjhm-1,4
acglpgok-1,2
acgppmjp-1,5
achbjaec-1,4
achbjmko-1,2
achbplen-1,2
achdhkji-1,2
achfginj-1,2
achfhmpb-1,4
achfohog-1,4
achggbjj-1,2
achgplae-1,6
achhieoj-1,4
achhlajl-1,4
achjcach-1,2
achjnhlf-1,2
achlkflj-1,4
achmbihk-1,4
achnkmgb-1,4
achoafjo-1,2
achocmcg-1,2
aciacacm-1,2
aciaobfk-1,2
acibllcb-1,2
acicoafh-1,2
acicphdf-1,2
acifallk-1,2
acifhlec-1,6
acigkgki-1,2
aciipidj-1,6
acijfkgc-1,2
acijgkon-1,2
acijjnpo-1,2
acikaajl-1,2
acjafadd-1,2
acjanpmm-1,8
acjbbioi-1,4
acjdfkdl-1,6
acjdhihl-1,2
acjeaneb-1,2
acjejkcm-1,6
acjhhnlc-1,2
acjhlccj-1,2
acjlnkap-1,2
acjmacaa-1,2
acjmgned-1,2
acjmgole-1,2
acjoaigg-1,6
acjobloh-1,2
acjoenje-1,6
acjpeoap-1,4
ackakgbl-1,2
ackbjoop-1,3
ackdbdlo-1,2
ackdlaif-1,5
ackengpn-1,3
ackepfhh-1,2
ackgaado-1,5
ackghpcf-1,9
ackgihke-1,2
ackgjlki-1,4
ackhioeb-1,3
ackigekb-1,3
ackkjnjf-1,5
ackkphed-1,5
acklbhmd-1,6
acklmcde-1,4
acknhofm-1,4
ackooejc-1,4
ackpbfnh-1,4
ackpfkhf-1,2
ackpgkkp-1,2
ackpifmk-1,4
aclbfkhh-1,2
acldgbak-1,2
acleaggo-1,2
aclegmbk-1,2
aclejbif-1,5
aclflnii-1,2
aclfnhhe-1,5
aclgjgll-1,2
aclgledm-1,4
aclhaoki-1,2
aclhemmf-1,4
acliebfn-1,8
acljjnhm-1,2
acllnohn-1,3
aclmoddo-1,4
aclnbico-1,2
aclofjkl-1,4
acmafhfd-1,4
acmfkbgm-1,4
acmgmmbl-1,2
acmjcjhe-1,3
acmjiaak-1,8
acmldbah-1,6
acmlhhpl-1,2
acmnbicj-1,2
acmngobb-1,2
acmoagln-1,4
acmojbdd-1,5
acmphiil-1,9
acncbbal-1,2
acncjlol-1,2
acndffpa-1,2
acndlipf-1,2
acnhdfem-1,6
acnhfohd-1,2
acnhhgjc-1,2
acnllaik-1,2
acnlmaac-1,5
acnmcidb-1,2
acnneaaj-1,2
acnnfbnj-1,2
acnnfjei-1,2
acnnpngd-1,2
acnoeadj-1,2
acnpaifn-1,2
acnpibaj-1,5
acoafgmf-1,5
acobopnm-1,2
acobpofb-1,4
acogglmh-1,5
acoghokn-1,4
acohbgdh-1,4
acohejof-1,10
acojbcpo-1,2
acokocef-1,2
acopbidh-1,2
acopkcoc-1,3
acpbidjk-1,2
acpdhkdf-1,4
acpejdle-1,5
acphepme-1,2
acphiedo-1,2
acpibggp-1,4
acpjjmap-1,2
acpkfjca-1,6
acplikga-1,2
acpmdjfc-1,2
acpmgjmh-1,2
acpnoggh-1,2
adabmoim-1,2
adacnpmo-1,4
adadgoil-1,3
adaepkkj-1,2
adagnckl-1,5
adahgjka-1,2
adaibcno-1,2
adaihbid-1,2
adaihhlc-1,2
adakgkef-1,4
adalkbin-1,2
adandlci-1,4
adanioen-1,2
adaomcmh-1,2
adaoobpm-1,2
adbafhoj-1,2
adbahcih-1,5
adbchhde-1,4
adbdjcef-1,2
adbdncgo-1,2
adbfkbne-1,6
adbfondl-1,4
adbjkhol-1,2
adbjligk-1,9
adbkalgg-1,6
adbkpbmk-1,4
adbmalli-1,4
adbmhdnb-1,4
adbmlgag-1,2
adceblil-1,3
adcedikd-1,6
adcfbdna-1,2
adcfcndb-1,2
adcfecaf-1,4
adcfigeg-1,2
adchhbcm-1,2
adchhcjf-1,2
adcibphj-1,6
adcinhho-1,3
adckkagi-1,6
adclhica-1,6
adcmnkml-1,6
adcngaog-1,6
adcnobla-1,2
adcpkfhc-1,9
addcapfd-1,2
addcjbcg-1,2
addddlhb-1,6
adddficp-1,2
addejplp-1,3
addfgpjg-1,2
addfiiff-1,3
addjlnfp-1,2
addklnal-1,3
addljjhj-1,2
addodicp-1,2
addonhki-1,4
addpbihi-1,3
addplmkd-1,2
adeabdfd-1,2
adebcmil-1,4
adebfbkf-1,4
adebhedl-1,2
adebkpin-1,4
adecadnk-1,5
adedaald-1,5
adedmhpa-1,3
adehgmgn-1,4
adehnfip-1,5
adejichj-1,5
adekcffh-1,2
adekfdfb-1,4
adekfhnp-1,4
adekhfcf-1,2
adelbbgm-1,3
adennecf-1,2
adeopgfh-1,5
adfajbdh-1,2
adfbgkfo-1,2
adfcbeag-1,2
adfdapia-1,2
adfdjoke-1,4
adfecfan-1,6
adfehpkn-1,2
adfepoph-1,2
adfihmlc-1,5
adfjhaoa-1,4
adfjlcoj-1,2
adfkbinp-1,2
adfkbkeg-1,2
adfkdjgn-1,4
adflkpei-1,3
adfmdfhl-1,2
adfmdkid-1,2
adfmgkec-1,4
adfmiddh-1,4
adfnjfln-1,2
adfobcaj-1,2
adfobgdc-1,2
adfojbgp-1,5
adfpjcmg-1,2
adgaenkn-1,4
adgakdgf-1,3
adgaljld-1,2
adgdpbaa-1,2
adgehgja-1,4
adgfgmic-1,2
adgfldin-1,5
adgikmom-1,5
adgjjlbh-1,3
adgknknc-1,5
adgkpcll-1,2
adglllbp-1,6
adglpglp-1,3
adgmfnjd-1,2
adgnecoe-1,2
adgnknod-1,2
adgoiela-1,5
adgpbbgk-1,3
adhbhehd-1,2
adhdajnm-1,2
adhdkkhg-1,3
adhelfkg-1,3
adhemgkd-1,2
adhfegio-1,3
adhhaipd-1,2
adhjakjm-1,6
adhjeaaf-1,2
adhjkkhp-1,2
