Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value,Cluster 3 Mean Counts,Cluster 3 Log2 fold change,Cluster 3 Adjusted p value,Cluster 4 Mean Counts,Cluster 4 Log2 fold change,Cluster 4 Adjusted p value,Cluster 5 Mean Counts,Cluster 5 Log2 fold change,Cluster 5 Adjusted p value
ENSMUSG00000052595,A1cf,0.0007712683922700561,-0.31465662929337057,0.5160292759853978,0.0007287706247339638,-0.3701321197027827,0.46501123868113575,0.00012800801179556172,-1.9513972161359412,0.030586009347278086,0.00041248176910195446,-0.7962528815993384,0.33525733091902643,0.0038611462438456483,2.596552844308553,0.00000018137541844691237
ENSMUSG00000030111,A2m,0.003239327247534236,-4.583555192176065,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000045429249279830825,0.0063287975305844225,-3.4164430329141373,0.000000000000000000000000000000000000000000000000000000017605558815232772,0.2331025894797179,3.0798304364116804,0.0000000000000000000000000000000000000000000000000021583426906800584,0.01594929507194224,-1.6640293871375027,0.000002352094645729578,0.26709059451993156,3.154400351468084,0.0000000000000000000000000000000000000000000005680824230284191
ENSMUSG00000018697,Aatf,0.1401857429790054,-0.1984250497338098,0.2458299331841445,0.15645554622578095,0.056336971221102594,0.7919342760414501,0.1584739186029054,0.06312405478424798,0.8403925802747818,0.20211606685995767,0.45574554087251107,0.0867751330805522,0.13295773152720666,-0.21063764297151621,0.6625596200555934
ENSMUSG00000015243,Abca1,0.04590589470791374,-2.6539244609318025,0.00000000000000000000000000000000000000000000000000000000052747532175498424,0.06359482609520589,-1.98346740098695,0.0000000000000000000000000000027411399052867263,0.9033525392412791,3.008262161227125,0.00000000000000000000000000000000000000000000000000000002208620531753485,0.27718774883651337,0.6137588642672434,0.01615332221549567,0.4849935434117425,1.5461973003845533,0.0000000001661344248277652
ENSMUSG00000004668,Abca13,0.0004936117710528359,-0.9276335061841241,0.06314027471206997,0.000805483322074381,0.10297443583159094,0.9384068337426711,0.0015360961415467407,1.2263642795383376,0.06538770105119696,0.0005499756921359392,-0.24844337929564908,0.7766989250249327,0.0015108833128091668,1.1933407804264977,0.12840245303735975
ENSMUSG00000024130,Abca3,0.5931362443913639,0.1784656329325286,0.28593743276999517,0.6156577525055186,0.2399520648517265,0.17347759394454118,0.456220554039382,-0.3024592995477482,0.3398378884414729,0.2932745378314896,-0.9791505310057189,0.0009333286525429774,0.4943945951358884,-0.1716144261357302,0.6760371385472943
ENSMUSG00000028125,Abca4,0.01030414572072795,-1.7484472433534393,0.000000000000000000000237195973092332,0.007632913385371515,-2.1106320670041354,0.00000000000000000000000007865005127276548,0.00883255281389376,-1.5649098963348447,0.000007033669666201683,0.00343734807584962,-2.912843146553632,0.0000000000014258840289316531,0.22528948953221128,4.722923028238419,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000009613875338808152
ENSMUSG00000035722,Abca7,0.134632610554661,-0.48914145322900415,0.0020830434036535404,0.1819241617427995,0.1900951945551208,0.3024240342306054,0.14400901327000695,-0.23261505996649623,0.48852580358157344,0.22150271000774954,0.45787491740029695,0.08490681725007145,0.23922319119478472,0.5721896789689382,0.04516149902997402
ENSMUSG00000041828,Abca8a,0.009440325121385486,-3.2318356519240963,0.000000000000000000000000000000000000000000000000000000000000000000033342679358456346,0.011200053811700916,-2.807616040336478,0.0000000000000000000000000000000000000000000003958595101857917,0.027649730547841332,-1.10416794457229,0.0005373359127772232,0.4333808454031201,4.540318335251849,0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000004302104610873619,0.08914211545574083,0.7277499410585135,0.00888232451745925
ENSMUSG00000020620,Abca8b,0.10881054478145952,0.3659371661069577,0.022452405560459947,0.07951271079334246,-0.35347291288504534,0.04909685263588849,0.04237065190433093,-1.2353737817347468,0.00005315815800281721,0.1890541441717291,1.1566296405721608,0.0000011274685823090082,0.03340730880544713,-1.5649071145277662,0.000011216112241573853
