Barcode,Cluster
aaaalabd-1,6
aaabcnhh-1,6
aaacnmip-1,6
aaadikih-1,6
aaaeinek-1,6
aaafnjff-1,3
aaagpiko-1,6
aaaimbga-1,6
aaaimine-1,6
aaalbjog-1,6
aaalgaap-1,5
aaanijpc-1,5
aaaoiopk-1,6
aaaolaaa-1,6
aaaplpeg-1,6
aabaekgm-1,1
aabagmcb-1,6
aabainfe-1,2
aabakdbj-1,1
aabbijjj-1,1
aabdelgb-1,1
aabdmpen-1,1
aabecgje-1,2
aabfbmml-1,1
aabgacjd-1,6
aabgmmhh-1,6
aabhojob-1,6
aabilkdm-1,1
aabiojde-1,1
aabiopkh-1,2
aabkfjcm-1,1
aabkkjnf-1,1
aabkleid-1,7
aaboicbe-1,1
aabpjmhp-1,2
aabpmmjd-1,1
aacajoli-1,1
aacblfdk-1,2
aaccaohh-1,2
aaccihko-1,2
aacgogmd-1,2
aackfjoi-1,2
aaclkfha-1,1
aacmhjai-1,2
aacnhajf-1,7
aacnhcip-1,5
aadaekjp-1,2
aaddnanc-1,2
aadegfgc-1,2
aadegfmc-1,2
aadfbemo-1,2
aadgdmbb-1,2
aadggknk-1,2
aadhikdf-1,2
aadidlmb-1,2
aadkhgkp-1,4
aadkihdk-1,1
aadkiikh-1,1
aadndlin-1,2
aaeaejhf-1,2
aaecfagf-1,1
aaedmpmg-1,6
aaefagfh-1,1
aaefhajj-1,2
aaegbgnc-1,2
aaegiihj-1,1
aaegphhj-1,1
aaehdklb-1,1
aaehjncn-1,1
aaeihmfm-1,2
aaeilamh-1,6
aaekombm-1,2
aaempijb-1,1
aafbjdbg-1,1
aafcffbj-1,2
aafcnlng-1,2
aafgdnbp-1,1
aafhfnoe-1,4
aafibgmm-1,2
aaficjdm-1,1
aafjkfno-1,1
aafjopoo-1,1
aafkehef-1,1
aaflpjhi-1,1
aafnndmg-1,1
aafodokb-1,1
aafpgpjg-1,1
aafpoboj-1,1
aagabgeo-1,1
aagbfpeo-1,1
aagelnjc-1,1
aagemmkk-1,6
aagfdkba-1,6
aaggdflf-1,6
aagghpdk-1,6
aaggnhlf-1,6
aaggoacc-1,6
aagichhb-1,2
aagjmkcn-1,1
aagkhfdf-1,1
aaglmlpd-1,2
aagnepdf-1,2
aagnmljk-1,2
aagoibol-1,2
aahaahel-1,2
aahacpeh-1,2
aahcapbo-1,2
aahcckng-1,2
aahgkgid-1,2
aahgmiid-1,2
aahiapdn-1,2
aahjmhmm-1,2
aahlabmf-1,7
aahlbkhe-1,2
aahlcehe-1,2
aahldcje-1,2
aahmeejb-1,3
aahmjhep-1,6
aahmokdn-1,2
aahnfcic-1,3
aahnjnab-1,3
aahpcnli-1,6
aaiajhnn-1,3
aaibmdgb-1,6
aaiekoom-1,4
aaikmeli-1,3
aaiofiin-1,6
aaipbjch-1,3
aaipoape-1,6
aajcmcaa-1,3
aajdidba-1,6
aajdoglp-1,6
aajeadno-1,6
aajeeibk-1,3
aajejgdp-1,6
aajepegm-1,6
aajfbaah-1,6
aajgjnil-1,6
aajgomin-1,6
aajhoobd-1,3
aajkifmn-1,6
aajkodic-1,6
aajlhicb-1,2
aajlmfak-1,1
aajlolen-1,2
aajnjgie-1,2
aajohfbk-1,2
aakajpcp-1,2
aakaljak-1,1
aakbgndb-1,3
aakbpfkl-1,6
aakdndog-1,1
aakejmbb-1,1
aakfbdhj-1,2
aakfegla-1,1
aakfhlhk-1,1
aakjhdap-1,1
aakjoahe-1,1
aakkfhma-1,1
aakkhbbb-1,1
aakkoocj-1,1
aakkpnig-1,1
aakoccjl-1,2
aakoffgl-1,1
aakpbbbo-1,1
aakpfafd-1,1
aakpnoli-1,1
aalajpdb-1,1
aalcbbkg-1,7
aalcdlim-1,3
aalcdofj-1,3
aalcogij-1,3
aalcplpe-1,2
aaldaijb-1,1
aaldfoko-1,2
aaleaafb-1,3
aalhjddj-1,1
aalhomeb-1,1
aalhpbmo-1,1
aalibhlc-1,4
aaljcibk-1,3
aalkenob-1,1
aalkkaca-1,1
aallfjkn-1,2
aalmioel-1,1
aalnobjl-1,6
aalockep-1,3
aalpbpbo-1,3
aalpcokc-1,6
aambajed-1,3
aambbfaa-1,1
aamcbehj-1,1
aamdmibc-1,3
aameklce-1,1
aamfpknc-1,2
aamgbggd-1,3
aamgikak-1,3
aamjfcad-1,6
aamldajl-1,3
aamlfejf-1,7
aamlhlob-1,6
aammdamc-1,6
aammemii-1,3
aammopdg-1,3
aamnbmjf-1,1
aamoaani-1,1
aamomddg-1,1
aanaejmm-1,3
aancbkjk-1,2
aandjknm-1,3
aandopgf-1,3
aaneknaa-1,1
aanfbkhf-1,1
aanhlijp-1,2
aanigocf-1,1
aanihckd-1,1
aanikfhe-1,6
aanjkgoh-1,6
aankfpig-1,3
aanlfcog-1,4
aanmacal-1,4
aanmanhn-1,2
aanmbocf-1,2
aanmjdem-1,2
aanmpcdb-1,2
aannjcoo-1,6
aanonfji-1,6
aaoajnlg-1,6
aaobcgml-1,3
aaobelmi-1,6
aaobgedj-1,6
aaobkdip-1,6
aaobkocc-1,6
aaoeejgo-1,6
aaofnjho-1,3
aaogjhnl-1,2
aaoigkip-1,2
aaoijebj-1,2
aaojdjeg-1,2
aaojihlg-1,2
aaokdekm-1,2
aaokdnii-1,2
aaoldool-1,2
aaolgidi-1,6
aaollmgl-1,2
aaonpnod-1,2
aapalkpf-1,2
aapbglik-1,2
aapbhcie-1,2
aapdiacj-1,2
aapeaile-1,2
aapenike-1,2
aapgfnlp-1,2
aapgiige-1,5
aapgnbmk-1,2
aaphjhdn-1,2
aapjfgnd-1,6
aapkhldb-1,2
aaplkcdb-1,2
aapmbmch-1,2
aapnenkj-1,2
aapoakkh-1,2
aappcdda-1,2
aappkmop-1,2
abachdao-1,2
abacipip-1,2
abadobik-1,2
abaeeoek-1,2
abaganfl-1,2
abagdenp-1,2
abagnjco-1,2
abahhcgn-1,2
abahpcfe-1,2
abajjkfe-1,2
abaknoom-1,2
abalgiod-1,2
abalkgao-1,2
abamcoji-1,2
abaocjlf-1,2
abaofene-1,2
abaonefg-1,2
abaophnm-1,2
abbahohg-1,2
abbbcije-1,2
abbfnoij-1,2
abbgmkdo-1,2
abbhbnfk-1,2
abbiaidb-1,6
abbifcic-1,2
abbjccmb-1,2
abbjgaff-1,2
abbjokhp-1,2
abbliion-1,2
abbllboo-1,6
abbohdlm-1,2
abbolfok-1,2
abcamgdk-1,2
abcbagfl-1,2
abcbipfe-1,2
abcdjfep-1,2
abceabdn-1,2
abcepkoc-1,2
abchafkg-1,2
abcheooc-1,2
abchkbcd-1,2
abciaoki-1,2
abcioebl-1,2
abcjpdep-1,2
abckmaae-1,2
abclmeid-1,2
abcmcood-1,2
abcndchj-1,7
abdaanbh-1,2
abdblkdk-1,5
abdcehkp-1,2
abddobmk-1,2
abdejalp-1,2
abdekmmf-1,2
abdepcoh-1,1
abdfleeh-1,2
abdfoffe-1,1
abdhebhe-1,2
abdijccd-1,2
abdijmje-1,2
abdjdgce-1,2
abdjfepk-1,4
abdllijl-1,2
abdmkkbb-1,2
abdnepdn-1,2
abdobpkg-1,6
abdoggdm-1,6
abdoicmi-1,6
abdpjkge-1,6
abebijhj-1,2
abeckdnl-1,2
abeejmhb-1,2
abegcipd-1,6
abegfehf-1,6
abegkihn-1,7
abeiaiaf-1,2
abeidobh-1,2
abekidfm-1,2
abelgacj-1,2
abepoafk-1,1
abfaafio-1,6
abfbhnpj-1,1
abfdomfc-1,1
abfedmfh-1,2
abfhpbkg-1,4
abfkjfaj-1,6
abfkphap-1,2
abfohbbp-1,2
abfokdmk-1,1
abgaalph-1,1
abgbepoc-1,1
abgeamhc-1,4
abgenmai-1,1
abgggpbc-1,1
