Barcode,Cluster
aaaalabd-1,3
aaabcnhh-1,3
aaacnmip-1,3
aaadikih-1,3
aaaeinek-1,3
aaafnjff-1,2
aaagpiko-1,3
aaaimbga-1,3
aaaimine-1,3
aaalbjog-1,3
aaalgaap-1,3
aaanijpc-1,3
aaaoiopk-1,3
aaaolaaa-1,3
aaaplpeg-1,3
aabaekgm-1,1
aabagmcb-1,3
aabainfe-1,1
aabakdbj-1,1
aabbijjj-1,1
aabdelgb-1,1
aabdmpen-1,1
aabecgje-1,1
aabfbmml-1,1
aabgacjd-1,3
aabgmmhh-1,3
aabhojob-1,3
aabilkdm-1,1
aabiojde-1,1
aabiopkh-1,1
aabkfjcm-1,1
aabkkjnf-1,1
aabkleid-1,2
aaboicbe-1,1
aabpjmhp-1,1
aabpmmjd-1,1
aacajoli-1,1
aacblfdk-1,1
aaccaohh-1,1
aaccihko-1,1
aacgogmd-1,1
aackfjoi-1,1
aaclkfha-1,1
aacmhjai-1,1
aacnhajf-1,3
aacnhcip-1,3
aadaekjp-1,1
aaddnanc-1,1
aadegfgc-1,1
aadegfmc-1,1
aadfbemo-1,1
aadgdmbb-1,1
aadggknk-1,1
aadhikdf-1,1
aadidlmb-1,1
aadkhgkp-1,2
aadkihdk-1,1
aadkiikh-1,1
aadndlin-1,1
aaeaejhf-1,1
aaecfagf-1,1
aaedmpmg-1,3
aaefagfh-1,1
aaefhajj-1,1
aaegbgnc-1,1
aaegiihj-1,1
aaegphhj-1,1
aaehdklb-1,1
aaehjncn-1,1
aaeihmfm-1,1
aaeilamh-1,3
aaekombm-1,1
aaempijb-1,1
aafbjdbg-1,1
aafcffbj-1,1
aafcnlng-1,1
aafgdnbp-1,1
aafhfnoe-1,2
aafibgmm-1,1
aaficjdm-1,1
aafjkfno-1,1
aafjopoo-1,1
aafkehef-1,1
aaflpjhi-1,1
aafnndmg-1,1
aafodokb-1,1
aafpgpjg-1,1
aafpoboj-1,1
aagabgeo-1,1
aagbfpeo-1,1
aagelnjc-1,1
aagemmkk-1,3
aagfdkba-1,3
aaggdflf-1,3
aagghpdk-1,3
aaggnhlf-1,3
aaggoacc-1,3
aagichhb-1,1
aagjmkcn-1,1
aagkhfdf-1,1
aaglmlpd-1,1
aagnepdf-1,1
aagnmljk-1,1
aagoibol-1,1
aahaahel-1,1
aahacpeh-1,1
aahcapbo-1,1
aahcckng-1,1
aahgkgid-1,1
aahgmiid-1,1
aahiapdn-1,1
aahjmhmm-1,1
aahlabmf-1,3
aahlbkhe-1,1
aahlcehe-1,1
aahldcje-1,1
aahmeejb-1,2
aahmjhep-1,3
aahmokdn-1,1
aahnfcic-1,2
aahnjnab-1,2
aahpcnli-1,3
aaiajhnn-1,2
aaibmdgb-1,3
aaiekoom-1,2
aaikmeli-1,2
aaiofiin-1,3
aaipbjch-1,2
aaipoape-1,3
aajcmcaa-1,2
aajdidba-1,3
aajdoglp-1,3
aajeadno-1,3
aajeeibk-1,2
aajejgdp-1,3
aajepegm-1,3
aajfbaah-1,3
aajgjnil-1,3
aajgomin-1,3
aajhoobd-1,2
aajkifmn-1,3
aajkodic-1,3
aajlhicb-1,1
aajlmfak-1,1
aajlolen-1,1
aajnjgie-1,1
aajohfbk-1,1
aakajpcp-1,1
aakaljak-1,1
aakbgndb-1,2
aakbpfkl-1,3
aakdndog-1,1
aakejmbb-1,1
aakfbdhj-1,1
aakfegla-1,1
aakfhlhk-1,1
aakjhdap-1,1
aakjoahe-1,1
aakkfhma-1,1
aakkhbbb-1,1
aakkoocj-1,1
aakkpnig-1,1
aakoccjl-1,1
aakoffgl-1,1
aakpbbbo-1,1
aakpfafd-1,1
aakpnoli-1,1
aalajpdb-1,1
aalcbbkg-1,2
aalcdlim-1,2
aalcdofj-1,2
aalcogij-1,2
aalcplpe-1,1
aaldaijb-1,1
aaldfoko-1,1
aaleaafb-1,2
aalhjddj-1,1
aalhomeb-1,1
aalhpbmo-1,1
aalibhlc-1,2
aaljcibk-1,2
aalkenob-1,1
aalkkaca-1,1
aallfjkn-1,1
aalmioel-1,1
aalnobjl-1,3
aalockep-1,3
aalpbpbo-1,2
aalpcokc-1,3
aambajed-1,2
aambbfaa-1,1
aamcbehj-1,1
aamdmibc-1,2
aameklce-1,1
aamfpknc-1,1
aamgbggd-1,2
aamgikak-1,2
aamjfcad-1,3
aamldajl-1,2
aamlfejf-1,2
aamlhlob-1,3
aammdamc-1,3
aammemii-1,2
aammopdg-1,2
aamnbmjf-1,1
aamoaani-1,1
aamomddg-1,1
aanaejmm-1,2
aancbkjk-1,2
aandjknm-1,2
aandopgf-1,2
aaneknaa-1,1
aanfbkhf-1,1
aanhlijp-1,1
aanigocf-1,1
aanihckd-1,1
aanikfhe-1,3
aanjkgoh-1,3
aankfpig-1,2
aanlfcog-1,2
aanmacal-1,2
aanmanhn-1,1
aanmbocf-1,1
aanmjdem-1,1
aanmpcdb-1,1
aannjcoo-1,3
aanonfji-1,3
aaoajnlg-1,3
aaobcgml-1,2
aaobelmi-1,3
aaobgedj-1,3
aaobkdip-1,3
aaobkocc-1,3
aaoeejgo-1,3
aaofnjho-1,2
aaogjhnl-1,1
aaoigkip-1,1
aaoijebj-1,1
aaojdjeg-1,1
aaojihlg-1,1
aaokdekm-1,1
aaokdnii-1,1
aaoldool-1,1
aaolgidi-1,3
aaollmgl-1,1
aaonpnod-1,1
aapalkpf-1,1
aapbglik-1,1
aapbhcie-1,1
aapdiacj-1,1
aapeaile-1,1
aapenike-1,1
aapgfnlp-1,1
aapgiige-1,3
aapgnbmk-1,1
aaphjhdn-1,1
aapjfgnd-1,3
aapkhldb-1,1
aaplkcdb-1,1
aapmbmch-1,1
aapnenkj-1,1
aapoakkh-1,1
aappcdda-1,1
aappkmop-1,1
abachdao-1,1
abacipip-1,1
abadobik-1,1
abaeeoek-1,1
abaganfl-1,1
abagdenp-1,1
abagnjco-1,1
abahhcgn-1,1
abahpcfe-1,1
abajjkfe-1,1
abaknoom-1,1
abalgiod-1,1
abalkgao-1,1
abamcoji-1,1
abaocjlf-1,1
abaofene-1,1
abaonefg-1,1
abaophnm-1,1
abbahohg-1,1
abbbcije-1,1
abbfnoij-1,1
abbgmkdo-1,1
abbhbnfk-1,1
abbiaidb-1,3
abbifcic-1,1
abbjccmb-1,1
abbjgaff-1,1
abbjokhp-1,1
abbliion-1,1
abbllboo-1,3
abbohdlm-1,1
abbolfok-1,1
abcamgdk-1,1
abcbagfl-1,1
abcbipfe-1,1
abcdjfep-1,1
abceabdn-1,1
abcepkoc-1,1
abchafkg-1,1
abcheooc-1,1
abchkbcd-1,1
abciaoki-1,1
abcioebl-1,1
abcjpdep-1,1
abckmaae-1,1
abclmeid-1,1
abcmcood-1,1
abcndchj-1,2
abdaanbh-1,1
abdblkdk-1,3
abdcehkp-1,1
abddobmk-1,1
abdejalp-1,1
abdekmmf-1,1
abdepcoh-1,1
abdfleeh-1,1
abdfoffe-1,1
abdhebhe-1,1
abdijccd-1,1
abdijmje-1,1
abdjdgce-1,1
abdjfepk-1,2
abdllijl-1,1
abdmkkbb-1,1
abdnepdn-1,1
abdobpkg-1,3
abdoggdm-1,3
abdoicmi-1,3
abdpjkge-1,3
abebijhj-1,1
abeckdnl-1,1
abeejmhb-1,1
abegcipd-1,3
abegfehf-1,3
abegkihn-1,3
abeiaiaf-1,1
abeidobh-1,1
abekidfm-1,1
abelgacj-1,1
abepoafk-1,1
abfaafio-1,3
abfbhnpj-1,1
abfdomfc-1,1
abfedmfh-1,1
abfhpbkg-1,2
abfkjfaj-1,3
abfkphap-1,1
abfohbbp-1,1
abfokdmk-1,1
abgaalph-1,1
abgbepoc-1,1
abgeamhc-1,2
abgenmai-1,1
abgggpbc-1,1
abggkjil-1,1
abghinpi-1,1
abgiejco-1,1
abgimckn-1,1
abgjdmag-1,1
abgkapki-1,1
abgkbgbe-1,1
abgkoafl-1,1
abgkooal-1,1
abgkpimn-1,1
abgldahm-1,2
abgnbodl-1,1
abgnnhec-1,1
abgphfdj-1,1
abhabhcp-1,1
abhacaob-1,1
abhafpgj-1,1
abhcfild-1,1
abhdbohc-1,1
abhggagj-1,1
abhgiemd-1,1
abhhallj-1,1
abhiaoae-1,1
abhibdam-1,1
abhjkpnh-1,1
abhmdakb-1,1
abhmohgb-1,1
abhnnflj-1,1
abhnpgff-1,1
abhoaiej-1,1
abhpgmcm-1,1
abhpmkgh-1,1
abibgpko-1,1
abidhnom-1,3
abidloja-1,1
abifllkf-1,1
abiialmf-1,1
abiieppk-1,1
abiikokc-1,1
abikigoa-1,1
abimncal-1,1
abinfddh-1,2
abiohnad-1,1
abiolfea-1,1
abiomahg-1,1
abioohgb-1,1
abjbllch-1,1
abjdphda-1,2
abjecmnn-1,2
abjfkdbo-1,1
abjfllcn-1,1
abjfpioe-1,1
